user_id,prediction
5d3443b296e6c0009ef9a10496617f40,0
38a51d0e599b6fcaea810338563e7395,0
fb3cebedc169277904c048e8a8bb317e,0
61b903810b15f1a42a55e366312010c3,0
03c120e2ecbb0f7dd659e70d52a8ec9e,0
72f09489a204e4a71a4802c99da8abae,0
00d2b44ab841f0ae0f605757aef5ee72,0
05be36b0d7805a05815b317ab01fe5a2,1
ea5c1effddf2f21a47774ecb031bb317,1
c6c625196a5e3e1c001a1de4cdf9b596,0
c6bcdf72c296d18ff0087d5e8d769a99,0
6168259569c2754eb6bfd28ee91ad2a7,0
f024bf10f0ce69a7090b7128d4022c7d,0
5d5dd7404c0949e99539c6fe9c584129,0
1e920e29a64e19aba225fa7c7d10cb9f,1
e99db3b7111fe3aba72a1a8971f9bc7a,0
65d2cd3834747bb1510497053eb8de3e,1
bc77181876d820fdb8b9889531611d30,0
077711040f0dcba2ab37ffdf383b23f5,0
4db1a2d0e58053622863629d68c65d88,0
aed9ca4609b77a25a5cd40bc554897d6,1
dc9bdcae4105f0a5441fcf3b2efc8b69,1
6b7aa7136a5eeb99844eed74c79567e1,0
51cc78bf7abdc98f4e99688fc3476584,0
e8549b62db1b2ee5ea5b8501a62947c0,0
05ba24610ed64d16610e9ebaf1f05514,1
cbfb9d2b0d798fd43280d1e2e30f569c,0
ca822776dc0ca537e48467f561a09ed4,1
7d3d1cb46f7333e4b902b278efc05d69,0
6c4ebdeb6c92da13fad63717639ead49,0
ad4948023025490327b54e13b15754fa,0
e9d1e21469083e360a4ea5e4501c75d7,0
c53c927233ce96d9f7f1921cf89b6bc8,1
a94df5500fa94a937f588193aa8e3b56,0
ba12db61af088b09cfe59d48ab064edb,1
764adab22e840248522b7e7b808c9ef6,1
43df4d4308fbd67b3ad5837b182260cb,0
c3bf70152fe63033ef3173829ac94d70,0
82ce84f36011685f4b694cbf8a773ba6,0
ec59ee41d3f3ddf505f44b256fcd3e03,1
95f641e6a4a297993720426f3517014c,0
3c8ac073970f8e9a4989cd0b1dedfa4f,1
08949e47ac4b7b8beef9001e99ef8fd7,0
595b0ccbda68a669e3889beeffc81caf,1
98515a791336158318cfb91ca7ac34bd,1
8d0bf09ba006c46c13215981f5a111a2,0
41823cf2a488cf4bde50777ae5f06a63,0
4b73b5d8a70aa479e73a266a8fd299fe,1
69dc046ed22d809682997c133cbc42f6,0
427879319c3fc46c3acf3614358d2dfb,0
07d9b7107163390b5a557bf3c717609f,0
9a799f587322482ce031baff3c143b54,0
15a1e5cc818d80650b6bdba7964029ce,0
365f07a4120fb1775e0a766166e7e930,0
2beaa02bf598b7b1d6495b9157a8e82b,1
968760e3ef8000a650fed306c9aa32fa,1
adc8b73ed6ab8b7c997af257c6b49edd,0
1149637151202344f5128e9e04e17c0b,0
6dcb8028cc00e986a44d31e994e47c36,1
33f4403b9e6f21907ca50fd50bf3909f,1
37379cdc1242380a918c0eba9bd790ec,1
a85309a9754a52ce08f225ebac76f95f,0
9b651b931a6332de3604d01562fb3395,1
7baa0b6e830223bd5e06da80675175f3,0
f07ea8a6a74144d0f39a788a0bf5a7bc,1
e77896119640d6d6475277b07b417ca1,0
9f5b9a61f34048e7fca268446ef0f397,1
4995447d310a52f7f21ed9187d2aa82d,1
ec3a4b02450760fcb53d128e26e909cc,1
95562a77f385c2d87ffdfa0f7addcac0,1
0d0085c112fdf540bc1833d18da1d566,0
f442e9aeef97fd9865095b8c5e9bff3c,0
3f768eb59b3519d78d588bc0c1959576,1
57b460e66b545d49fc60a6380ba7e8db,0
f8a9ef7a7d166d9db02588eb9bc1d4ac,1
0b5a1f373cbeed5a19c57bd3399a89a9,0
424dfc39f3737bfe54b866c732e53095,0
6ab2c68130fabc30e8134eca52b472eb,1
61649f27b6f8cea93b1d7f85d4f4155c,0
d8fa6cce24d824e8a74f1c48b96a80c1,0
adbe7a059f2e78a643305eaf55574117,1
95b1066374438b3d54e36d3d7755c6fa,1
a96269e5d93421eacc17fb5bbbe1ec04,1
b08400c1d8a976febf0d5da748c9c94a,1
80af14f85289186b6259b681a0223438,0
25f5c69d97049d3adfbcd12e26bb276a,1
8e5358a0da09b6495ed08c5d95061596,1
68832de0f01d778cd78fdacfcaf160a8,1
7bae4ff0b8f133b41ca0bd5dd0929669,0
f91cb19e8c3c44e2639ddb975a637296,1
d8f07071d17bb03e418481990cd5d5c6,1
6877607db4110c97c82ef7ab6eac92a2,1
8819c2cecb8be186e7c1a5d94f4c329c,0
5e68459adda0a97edcb72b37a047955d,1
f7aedeb37b9ccbb4e9933e64ae94a00a,0
326ec701336ee0322ff5221b78c7bcb9,1
02514383a4dd88d499628e3ccbd95175,0
e77110c2db627642311833772c0517dd,0
eaabd7c0844e9078fc1847d2f6899169,1
bd710bd3e0067ab98dee0d1fdf62f439,0
a34f826db039e5a7a85f360ac6a09c4c,1
